Snapshot,Label,Time,Value1,Value2,Value3,Value4,Value5,Value6,Category1,Category2,Category3
0,0,2025-09-21 19:00:00,0.079106,0.394032,0.5514439999999999,0.351565,0.023969999999999998,0.633883,A,A,E
0,0,2025-09-21 20:00:00,0.079106,0.394032,0.5514439999999999,0.351565,0.023969999999999998,0.633883,A,B,E
0,0,2025-09-21 21:00:00,-0.9034969999999999,-3.666397,-0.282844,-0.095881,-0.31960500000000003,0.972131,A,C,E
0,0,2025-09-21 22:00:00,1.116125,-0.656101,0.33311799999999997,1.624657,-0.569962,1.209171,A,C,E
0,0,2025-09-21 23:00:00,1.6382,1.405135,0.393875,1.187864,-0.27166399999999996,1.739182,A,C,E
0,0,2025-09-22 00:00:00,1.003448,2.220504,0.030764999999999997,1.004091,-0.047941000000000004,1.499479,A,D,E
0,0,2025-09-22 01:00:00,0.028774,3.248704,-0.313529,0.340912,0.162466,0.428803,A,C,E
0,0,2025-09-22 02:00:00,0.03005,3.0206150000000003,-1.581368,-0.31161500000000003,-0.013316999999999999,-0.28231799999999996,A,A,E
0,0,2025-09-22 03:00:00,-0.120485,1.9571169999999998,-1.046431,-0.348902,-0.143822,-0.9268540000000001,A,B,E
0,0,2025-09-22 04:00:00,-0.120485,1.9571169999999998,-1.046431,-0.348902,-0.143822,-0.9268540000000001,A,C,E
0,0,2025-09-22 05:00:00,0.667496,-1.956176,0.527999,-0.22638699999999998,-0.31161500000000003,-1.267765,A,A,E
0,0,2025-09-22 06:00:00,-0.312815,-3.1386939999999997,1.025005,-0.101208,-0.055930999999999995,-0.66318,A,D,E
0,0,2025-09-22 07:00:00,-0.032063999999999995,-2.905234,0.69038,-0.00799,0.19176300000000002,0.143822,A,A,E
0,0,2025-09-22 08:00:00,0.462654,-1.249818,0.010440999999999999,0.039951,0.21306999999999998,1.025398,A,D,E
0,0,2025-09-22 09:00:00,0.462654,-1.249818,0.010440999999999999,0.039951,0.21306999999999998,1.025398,A,D,E
0,0,2025-09-22 10:00:00,0.50726,0.902984,-0.318485,0.351565,0.19709000000000002,1.395607,A,D,E
0,0,2025-09-22 11:00:00,0.381774,2.535184,-0.339922,0.37819899999999995,0.11718800000000001,1.201181,A,D,E
0,0,2025-09-22 12:00:00,-0.17310899999999999,2.947793,-0.602718,0.079901,0.00799,0.354229,A,C,E
0,0,2025-09-22 13:00:00,0.075566,2.53536,-0.537257,0.023969999999999998,-0.162466,-0.21839699999999998,A,C,E
0,0,2025-09-22 14:00:00,0.182602,1.058201,0.032005,-0.194426,-0.242367,-0.8655959999999999,A,A,E
0,0,2025-09-22 15:00:00,0.241339,0.097825,0.38506799999999997,-0.189099,-0.25301999999999997,-1.049369,A,C,E
0,0,2025-09-22 16:00:00,0.128828,-1.498574,0.808822,-0.162466,-0.178446,-0.8522790000000001,A,A,E
0,0,2025-09-22 17:00:00,-0.0055509999999999995,-1.912198,0.9452139999999999,-0.087891,0.002663,-0.36488200000000004,A,D,E
0,0,2025-09-22 18:00:00,-0.234381,-1.1894639999999999,0.31803000000000003,-0.25301999999999997,0.247694,0.380862,A,A,E
0,0,2025-09-22 19:00:00,-0.060061,0.048358,-0.163724,-0.13583199999999998,0.284981,0.692477,A,A,E
0,0,2025-09-22 20:00:00,0.134305,1.049725,-0.367703,-0.018644,0.151812,0.689814,A,A,E
0,0,2025-09-22 21:00:00,-0.119217,1.632314,-0.504733,0.063921,0.042614,0.44744700000000004,A,D,E
0,0,2025-09-22 22:00:00,-0.118415,1.497473,-0.293617,0.26100999999999996,-0.151812,0.045277,A,C,E
0,0,2025-09-22 23:00:00,-0.034857,0.772937,0.008929000000000001,0.159802,-0.202416,-0.292971,A,B,E
0,0,2025-09-23 00:00:00,-0.15273599999999998,0.20822100000000002,0.43875600000000003,-0.021307,-0.12517899999999998,-0.274327,A,A,E
0,0,2025-09-23 01:00:00,-0.30275,-0.12443900000000001,0.435576,-0.21306999999999998,-0.066584,-0.199753,A,A,E
0,0,2025-09-23 02:00:00,-0.258284,-0.32403699999999996,0.37449299999999996,-0.082565,0.079901,-0.21040599999999998,A,C,E
0,0,2025-09-23 03:00:00,-0.15304600000000002,-0.44049399999999994,0.057104999999999996,-0.047941000000000004,0.127842,0.005327,A,D,E
0,0,2025-09-23 04:00:00,-0.183976,-0.09376,-0.070314,-0.021307,0.069248,0.178446,A,D,E
0,0,2025-09-23 05:00:00,-0.160971,0.27217800000000003,-0.206731,-0.029297000000000004,0.037287,0.223723,A,A,E
0,0,2025-09-23 06:00:00,-0.241554,0.410578,-0.062707,0.026633999999999998,-0.047941000000000004,0.12251500000000001,A,D,E
0,0,2025-09-23 07:00:00,-0.12605,0.6309899999999999,0.034384,0.189099,-0.050604,0.029297000000000004,A,C,E
0,0,2025-09-23 08:00:00,-0.047557999999999996,0.304098,-0.019835,0.119852,-0.034624,-0.055930999999999995,A,B,E
0,0,2025-09-23 09:00:00,-0.18065599999999998,0.45263100000000006,0.147044,0.095881,-0.03196,-0.079901,A,A,E
0,0,2025-09-23 10:00:00,-0.223321,0.05536900000000001,0.154054,0.077238,-0.010653,-0.165129,A,C,E
0,0,2025-09-23 11:00:00,-0.269544,-0.195426,0.22399499999999997,0.109198,0.00799,-0.175783,A,A,E
0,0,2025-09-23 12:00:00,-0.132218,-0.10808499999999999,0.034453,0.053266999999999995,0.069248,0.029297000000000004,A,A,E
0,0,2025-09-23 13:00:00,-0.247598,0.05122,-0.14036500000000002,-0.002663,0.029297000000000004,0.165129,A,C,E
0,0,2025-09-23 14:00:00,-0.167151,0.49508599999999997,-0.104581,0.101208,0.0,0.157139,A,B,E
0,0,2025-09-23 15:00:00,-0.226787,0.582479,-0.110829,0.021307,-0.034624,0.11718800000000001,A,C,E
0,0,2025-09-23 16:00:00,-0.226787,0.582479,-0.110829,0.021307,-0.034624,0.11718800000000001,A,D,E
0,0,2025-09-23 17:00:00,-0.221194,0.535399,0.111417,0.063921,-0.063921,-0.050604,A,C,E
0,0,2025-09-23 18:00:00,-0.124525,0.254673,0.092016,0.063921,-0.01598,-0.12517899999999998,A,D,E
0,0,2025-09-23 19:00:00,-0.21538400000000002,0.045147,0.075045,0.359555,-0.005327,-0.194426,A,C,E
0,0,2025-09-23 20:00:00,-0.292342,0.126648,0.098005,0.386189,-0.010653,-0.189099,A,B,E
0,0,2025-09-23 21:00:00,-0.2096,-0.011763,0.17915799999999998,0.19709000000000002,-0.010653,-0.114525,A,A,E
0,0,2025-09-23 22:00:00,-0.350283,-0.067802,0.11914100000000001,-0.540665,-0.026633999999999998,0.109198,A,D,E
0,0,2025-09-23 23:00:00,-0.21230500000000002,0.062543,-0.10057100000000001,-0.239704,0.047941000000000004,0.13050499999999998,A,C,E
0,0,2025-09-24 00:00:00,-0.10191599999999999,0.041191000000000005,-0.21793600000000002,-0.306288,-0.010653,0.12517899999999998,A,C,E
0,0,2025-09-24 01:00:00,-0.125474,0.292536,-0.16458699999999998,-0.085228,-0.050604,0.087891,A,A,E
0,0,2025-09-24 02:00:00,-0.171308,0.566593,0.012232999999999999,-0.093218,-0.085228,-0.005327,A,D,E
0,0,2025-09-24 03:00:00,-0.392737,0.40288,0.24484099999999998,0.00799,-0.103872,-0.223723,A,C,E
0,0,2025-09-24 04:00:00,-0.333702,-0.095309,0.348375,0.063921,0.0,-0.36754499999999996,A,B,E
0,0,2025-09-24 05:00:00,-0.049047,-0.6713819999999999,0.154106,-0.034624,0.063921,-0.178446,A,D,E
0,0,2025-09-24 06:00:00,-0.161384,-0.299112,-0.035424000000000004,-0.14648599999999998,0.066584,0.170456,A,A,E
0,0,2025-09-24 07:00:00,-0.332913,0.264913,-0.254828,-0.14115899999999998,0.077238,0.338248,A,C,E
0,0,2025-09-24 08:00:00,-0.323573,0.979325,-0.235535,-0.11718800000000001,-0.005327,0.223723,A,C,E
0,0,2025-09-24 09:00:00,-0.260746,0.5857939999999999,-0.0036,-0.12517899999999998,-0.047941000000000004,-0.19176300000000002,A,D,E
0,0,2025-09-24 10:00:00,-0.38603899999999997,-0.28673200000000004,0.154836,0.183773,-0.090555,-0.423476,A,A,E
0,0,2025-09-24 11:00:00,0.073956,-0.6849109999999999,0.42532200000000003,0.31161500000000003,-0.00799,-0.330258,A,C,E
0,0,2025-09-24 12:00:00,0.013228,-0.702381,0.069628,0.079901,0.029297000000000004,0.186436,A,C,E
0,0,2025-09-24 13:00:00,-0.134901,0.063297,0.00436,0.154476,0.103872,0.303624,A,A,E
0,0,2025-09-24 14:00:00,-0.11444700000000001,0.685951,-0.241098,0.0,0.114525,0.346238,A,B,E
0,0,2025-09-24 15:00:00,-0.15173599999999998,1.384099,-0.40993500000000005,-0.396843,0.11718800000000001,0.37553600000000004,A,C,E
0,0,2025-09-24 16:00:00,-0.265312,1.393837,-0.37759000000000004,-0.439456,0.002663,-0.002663,A,D,E
0,0,2025-09-24 17:00:00,-0.265312,1.393837,-0.37759000000000004,-0.439456,0.002663,-0.002663,A,B,E
0,0,2025-09-24 18:00:00,-0.19250599999999998,-0.526192,0.259687,-0.034624,-0.133169,-0.740418,A,C,E
0,0,2025-09-24 19:00:00,0.006082,-1.453164,0.733738,0.30895100000000003,-0.087891,-0.657853,A,C,E
0,0,2025-09-24 20:00:00,0.006082,-1.453164,0.733738,0.30895100000000003,-0.087891,-0.657853,A,B,E
0,0,2025-09-24 21:00:00,-0.056635000000000005,-1.491239,0.261785,-0.22105999999999998,0.170456,0.11718800000000001,A,B,E
0,0,2025-09-24 22:00:00,-0.209398,-0.588188,-0.18731199999999998,-0.149149,0.178446,0.487397,A,D,E
0,0,2025-09-24 23:00:00,-0.160216,0.54238,-0.45487299999999997,-0.165129,0.095881,0.540665,A,B,E
0,0,2025-09-25 00:00:00,-0.135851,0.976972,-0.386007,0.178446,-0.042614,0.242367,A,C,E
0,0,2025-09-25 01:00:00,-0.27988,1.021334,-0.11693800000000001,0.189099,-0.071911,-0.05859400000000001,A,B,E
0,0,2025-09-25 02:00:00,-0.18143399999999998,0.5461159999999999,0.025466,0.19176300000000002,-0.079901,-0.247694,A,A,E
0,0,2025-09-25 03:00:00,-0.129874,-0.004861,0.20746599999999998,0.194426,-0.050604,-0.298298,A,D,E
0,0,2025-09-25 04:00:00,-0.041725,-0.48526800000000003,0.14792,-0.039951,0.0,-0.19176300000000002,A,A,E
0,0,2025-09-25 05:00:00,-0.176548,-0.269133,0.041364,-0.026633999999999998,0.047941000000000004,0.05859400000000001,A,D,E
0,0,2025-09-25 06:00:00,-0.257786,-0.162642,-0.136943,0.045277,0.034624,0.159802,A,D,E
0,0,2025-09-25 07:00:00,-0.257786,-0.162642,-0.136943,0.045277,0.034624,0.159802,A,B,E
0,0,2025-09-25 08:00:00,-0.239707,0.426015,-0.126909,0.013316999999999999,-0.021307,0.143822,A,D,E
0,0,2025-09-25 09:00:00,-0.21637199999999998,0.545045,-0.019764,0.005327,-0.03196,0.03196,A,D,E
0,0,2025-09-25 10:00:00,-0.08794,0.30580300000000005,0.046610000000000006,0.06125800000000001,-0.00799,-0.114525,A,A,E
0,0,2025-09-25 11:00:00,-0.22725900000000002,0.07209700000000001,0.118345,-0.042614,-0.002663,-0.13050499999999998,A,A,E
0,0,2025-09-25 12:00:00,-0.143374,-0.071186,0.043983,-0.077238,0.047941000000000004,-0.109198,A,D,E
0,0,2025-09-25 13:00:00,-0.308963,-0.12464700000000001,-0.132656,-0.018644,0.034624,-0.039951,A,C,E
